source,target,value
web,thinkpad-x220,2
web,thinkpad-x201,2
web,sr60i,2
web,sequel-pro,2
web,se115m-plus,2
web,scansnap-s1500m,2
web,rokit-5,2
web,remote-ios,2
web,reeder,2
web,readynas-nv-plus,2
web,rails,2
web,quietcomfort-15,2
web,psp-go,2
web,powershot-s100,2
web,pcm-d50,2
web,path-ios,2
web,path-finder,2
web,parallels-desktop,2
web,omnigraffle-pro,2
web,nexus-s,2
web,mstand,2
web,mindnode-pro,2
web,mdr-7506,2
web,macvim,2
web,kindle-fire,2
web,jerker,2
web,istat-menus,2
web,ipod-nano,2
web,ipod-classic,2
web,iphone-3g,2
web,intellij-idea,2
web,ia-writer-mac,2
web,google-talk,2
web,google-plus,2
web,google-maps,2
web,gimme-bar,2
web,gel-ink-0.38mm,2
web,flipboard-ios,2
web,final-cut-pro,2
web,expert-mouse,2
web,emacs,2
web,ef-85mm-f1.2l-ii-usm,2
web,ef-50mm-f1.2l-usm,2
web,ef-400mm-f2.8l-is-ii-usm,2
web,ef-35mm-f1.4l-usm,2
web,ef-16-35mm-f2.8l-ii-usm,2
web,ec2,2
web,d90,2
web,creative-cloud,2
web,connectbot-android,2
web,carcassonne-ios,2
web,app-engine,2
web,aeron,2
web,3007wfp,2
usability,rhel,2
type,fontlab-studio,2
technologist,macbook-pro,2
teacher,windows-7,2
sysadmin,mac-pro,2
suit,words-with-friends-ios,2
suit,wii,2
suit,twitter-mac,2
suit,twitter-ios,2
suit,thinkpad-x201,2
suit,terminal,2
suit,simplenote-ios,2
suit,psp,2
suit,ps3,2
suit,nexus-one,2
suit,movable-type,2
suit,magic-mouse,2
suit,kindle-ios,2
suit,kindle-for-mac,2
suit,keyboard,2
suit,ipad-3,2
suit,instagram-ios,2
suit,excel,2
suit,e-p1,2
suit,creative-suite,2
software,xps-m1530,2
software,xo,2
software,xbox-360,2
software,wow,2
software,wolfram-alpha,2
software,visual-studio,2
software,vim,2
software,ubuntu,2
software,u2711,2
software,twitkitteh-ios,2
software,twidroid-android,2
software,tweetbot-ios,2
software,thinkpad-x60,2
software,subversion,2
software,stylus-photo-r1900,2
software,snapz-pro-x,2
software,se530,2
software,remember-the-milk,2
software,razor-point,2
software,raspberry-pi,2
software,quietcomfort-15,2
software,pro-tools,2
software,powerbook-g4,2
software,plan-9,2
software,photoshop-elements,2
software,performance-mouse-mx,2
software,path-finder,2
software,papers,2
software,omnifocus-ios,2
software,objective-c,2
software,no-kahuna,2
software,nebulous-notes-ios,2
software,mx-revolution,2
software,mlb-at-bat-ios,2
